node,l_P,l_Q,v_min,v_max,r,x,I_max,s_max
0,21.7,12.7,0.94,1.06,"[0, 0.28921056558722574, 0, 0, 0.8062975675272347, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0.26528873744619796, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0.0015407407407407403, 0, 0, 0.0015407407407407403, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64.03124237432849
1,94.2,19.0,0.94,1.06,"[0, 0, 0.7012386211013282, 0.8671840023877033, 0.8498731532607073, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0.887598637015782, 0.7905308464849355, 0.7795911047345768, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0.0015407407407407403, 0.0015407407407407403, 0.0015407407407407403, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
2,47.8,-3.9,0.94,1.06,"[0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0.7668131276901005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0.0015407407407407403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
3,7.6,1.6,0.94,1.06,"[0, 0, 0, 0, 0.19922399641844502, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0.18880021520803444, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0.0015407407407407403, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
4,11.2,7.5,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
5,29.5,16.6,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3647413106452387e-06, 4.3541835596062985e-06, 2.3434158528025114e-06, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1169527250828065e-06, 2.7226630296804057e-06, 1.3865029235622786e-06, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0]",0.0
6,9.0,5.8,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
7,3.5,1.8,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
8,6.1,1.6,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1268943050286906e-06, 0, 0, 0, 4.502971867720744e-06]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8.993590008521726e-07, 0, 0, 0, 2.877735936691248e-06]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 1.0]",0.0
9,13.5,5.8,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.906685876378625e-06, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0442589738896664e-06, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0]",0.0
10,14.9,5.0,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
11,0.0,0.0,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.826265006819815e-06, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1273831608323344e-06, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0]",0.0
12,0.0,0.0,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.055329882381455e-06]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.704081887296723e-06]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0]",0.0
13,0.0,0.0,0.94,1.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
